state,state.po,county,FIPS,candidatevotesR,totalvotes,fracvotesR,partywonR
Texas,TX,Randall,48381,43462,54305,0.800331461,1
Texas,TX,Reagan,48383,709,904,0.784292035,1
Texas,TX,Real,48385,1382,1681,0.822129685,1
Texas,TX,Red River,48387,3926,5161,0.76070529,1
Texas,TX,Reeves,48389,1417,3184,0.445037688,0
Texas,TX,Refugio,48391,1830,2948,0.620759837,1
Texas,TX,Roberts,48393,524,554,0.945848375,1
Texas,TX,Robertson,48395,4668,7035,0.663539446,1
Texas,TX,Rockwall,48397,28451,39948,0.712200861,1
Texas,TX,Runnels,48399,3250,3782,0.859333686,1
Texas,TX,Rusk,48401,14675,18994,0.772612404,1
Texas,TX,Sabine,48403,3998,4651,0.859600086,1
Texas,TX,San Augustine,48405,2622,3569,0.734659569,1
Texas,TX,San Jacinto,48407,8059,10343,0.779174321,1
Texas,TX,San Patricio,48409,13030,21656,0.601680827,1
Texas,TX,San Saba,48411,2025,2357,0.859142978,1
Texas,TX,Schleicher,48413,821,1059,0.775259679,1
Texas,TX,Scurry,48415,4410,5289,0.833806012,1
Texas,TX,Shackelford,48417,1378,1504,0.916223404,1
Texas,TX,Shelby,48419,7179,9086,0.790116663,1
Texas,TX,Sherman,48421,807,935,0.863101604,1
Texas,TX,Smith,48423,58930,84768,0.695191582,1
Texas,TX,Somervell,48425,3206,3897,0.822684116,1
Texas,TX,Starr,48427,2224,11740,0.189437819,0
Texas,TX,Stephens,48429,3034,3461,0.876625253,1
Texas,TX,Sterling,48431,549,633,0.867298578,1
Texas,TX,Stonewall,48433,555,701,0.791726106,1
Texas,TX,Sutton,48435,1075,1416,0.759180791,1
Texas,TX,Swisher,48437,1671,2204,0.758166969,1
Texas,TX,Tarrant,48439,345921,668514,0.517447653,1
Texas,TX,Taylor,48441,33250,45759,0.726633012,1
Texas,TX,Terrell,48443,288,438,0.657534247,1
Texas,TX,Terry,48445,2459,3355,0.732935917,1
Texas,TX,Throckmorton,48447,715,808,0.88490099,1
Texas,TX,Titus,48449,6511,9419,0.691262342,1
Texas,TX,Tom Green,48451,27494,38479,0.714519608,1
Texas,TX,Travis,48453,127209,468720,0.271396569,0
Texas,TX,Trinity,48455,4737,5985,0.791478697,1
Texas,TX,Tyler,48457,6624,8016,0.826347305,1
Texas,TX,Upshur,48459,13209,16013,0.824892275,1
Texas,TX,Upton,48461,1007,1347,0.747587231,1
Texas,TX,Uvalde,48463,4835,8964,0.539379741,1
Texas,TX,Val Verde,48465,5890,13617,0.432547551,0
Texas,TX,Van Zandt,48467,18473,21890,0.843901325,1
Texas,TX,Victoria,48469,21275,31123,0.683578061,1
Texas,TX,Walker,48471,12884,19796,0.650838553,1
Texas,TX,Waller,48473,10531,16784,0.627442803,1
Texas,TX,Ward,48475,2547,3445,0.739332366,1
Texas,TX,Washington,48477,10945,14828,0.738130564,1
Texas,TX,Webb,48479,12947,56905,0.22751955,0
Texas,TX,Wharton,48481,10149,14732,0.688908499,1
Texas,TX,Wheeler,48483,2087,2306,0.905030356,1
Texas,TX,Wichita,48485,27631,38119,0.724861618,1
Texas,TX,Wilbarger,48487,3166,4105,0.771254568,1
Texas,TX,Willacy,48489,1547,5095,0.303631011,0
Texas,TX,Williamson,48491,104175,203081,0.512972656,1
Texas,TX,Wilson,48493,13998,19432,0.720358172,1
